,title,num_comments,grade,price,district,type,num_bedrooms,num_beds,num_toilets,num_people_can_in,labels,district_en,popularity,price level,type_new,ownership,price_group2,price level2,apartment,share
46,10分钟步行至三号线友谊路地铁站，美食一条街,23,4.9,88,宝山区,公寓型住宅里的独立房间,1,1,1.0,2,"['超赞房东', '近地铁站', '可以做饭']",Baoshan,15.363921658052835,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
47,欢聚六人间丨一张床位丨公共卫浴 近人民广场19号地铁口丨住繁华的南京东路步行街丨享免费健身房、影院,37,4.8,92,黄浦区,旅舍里的合住房间,1,1,1.0,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '投影仪']",Huangpu,17.332405980692275,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
48,静安嘉里中心地带！女生独卫厨公寓房（床位）,15,4.9,79,静安区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '近地铁站', '可以做饭']",Jing'an,13.26944598540083,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
49,欢聚十人间丨一张床位丨公共卫浴 近人民广场地铁口 住繁华的南京东路步行街 年轻人玩乐社区,24,4.7,74,黄浦区,旅舍里的合住房间,1,1,0.0,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '可以停车']",Huangpu,14.936853002635345,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
50,杨浦区地铁房,10,5.0,88,杨浦区,公寓型住宅里的独立房间,1,1,1.0,1,"['超赞房东', '近地铁站']",Yangpu,11.51292546497023,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
51,欢聚八人间丨一张床位丨公共卫浴 人民广场19号地铁口丨住南京东路步行街 免费健身房、洗衣,42,4.8,81,黄浦区,旅舍里的合住房间,1,1,0.0,1,"['可开发票', '灵活取消', '行李寄存', '自助入住', '近地铁站', '投影仪']",Huangpu,17.940814167760166,very cheap,Hotel,Shared Room,group1,very cheap,Non-apartment,Not Shared
52,5-6近徐家汇漕河泾虹桥机场火车站,1,5.0,78,闵行区,公寓型住宅里的独立房间,1,1,1.5,1,"['可以做饭', '可以停车']",Minhang,0.0,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
53,地铁5号线西渡站3号口旁小别墅1楼独立大房间带阳台卫生间大厨房长短租,23,4.8,90,奉贤区,别墅里的独立房间,1,1,1.0,2,"['超赞房东', '灵活取消', '近地铁站', '可以做饭', '花园或后院', '可携宠物']",Fengxian,15.050372236459918,very cheap,Villa,Indivual Room,group1,very cheap,Non-apartment,Not Shared
54,中间客厅宽敞舒适明亮，周边滨江步道，漂亮的小花园,9,4.1,88,闵行区,公寓型住宅里的独立房间,1,1,1.5,1,"['可开发票', '灵活取消', '可以做饭', '花园或后院', '浴缸']",Minhang,9.008620767078499,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
55,昌吉东路地铁站附近单间不吵不闹睡个好觉,7,5.0,87,嘉定区,客房里的独立房间,1,1,1.5,1,"['超赞房东', '自助入住', '近地铁站', '免费停车', '可以做饭', '可携宠物']",Jiading,9.729550745276565,very cheap,Hotel,Indivual Room,group1,very cheap,Non-apartment,Not Shared
56,舒适卫生ins风独立房间近地铁11号线周边保利大剧院、州桥老街等直达迪士尼,65,5.0,89,嘉定区,LOFT里的独立房间,1,1,1.5,2,"['超赞房东', '灵活取消', '近地铁站', '免费停车', '可以做饭']",Jiading,20.871936349478183,very cheap,LOFT,Indivual Room,group1,very cheap,Non-apartment,Not Shared
57,静安嘉里中心地带，女生公寓独卫厨沙发床,13,4.9,72,静安区,公寓型住宅里的合住房间,1,1,1.0,1,"['超赞房东', '自助入住', '近地铁站', '可以做饭']",Jing'an,12.56825185156153,very cheap,Apartment,Shared Room,group1,very cheap,Apartment,Not Shared
58,自贸区 外高桥 航津路 活力单人间 ＃1202,24,5.0,88,浦东新区,公寓型住宅里的独立房间,1,1,1.0,1,"['超赞房东', '灵活取消']",Pudong,15.890269151739728,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
59,栖心D【INS风拍照泳池】【烧烤BBQ】近野生动物园地铁站 1.8大床,3,5.0,76,浦东新区,整套民居,1,1,1.0,2,"['可开发票', '提供接送机', '行李寄存', '免费停车', '可以做饭', '桌游']",Pudong,5.493061443340549,very cheap,Bungalow,The Whole House,group1,very cheap,Non-apartment,Shared
60,月租85折，独立房间，13号线陈春路站，到新天地，南京西路Subway line13 博华路 需押金,3,5.0,85,浦东新区,公寓型住宅里的独立房间,1,1,1.0,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '近地铁站', '免费停车']",Pudong,5.493061443340549,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
61,panda cabin _4号房,6,4.5,84,普陀区,公寓型住宅里的独立房间,1,1,1.0,2,"['灵活取消', '近地铁站']",Putuo,8.062917611526247,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
62,1号线地铁站旁花园民宿单人间,3,5.0,80,宝山区,民居里的独立房间,1,1,2.0,1,"['超赞房东', '可开发票', '行李寄存', '自助入住', '近地铁站', '可以停车']",Baoshan,5.493061443340549,very cheap,Bungalow,Indivual Room,group1,very cheap,Non-apartment,Not Shared
63,「狮子座女生的loft床位」9号线九亭站靠近虹桥七宝松江大学城国家会展中心,10,4.6,75,松江区,LOFT里的合住房间,1,1,1.0,1,"['灵活取消', '近地铁站', '免费停车', '供应早餐']",Songjiang,10.59189142777261,very cheap,LOFT,Shared Room,group1,very cheap,Non-apartment,Not Shared
64,单人公寓B 国家会展中心/虹桥枢纽,4,4.8,75,青浦区,整套公寓,1,1,1.0,1,"['超赞房东', '可开发票', '灵活取消', '免费停车']",Qingpu,6.654212933375475,very cheap,Apartment,The Whole House,group1,very cheap,Apartment,Shared
65,独卫单人间随机分配近虹桥火车站，可年租,4,5.0,78,青浦区,公寓型住宅里的独立房间,1,1,1.0,1,"['灵活取消', '行李寄存', '自助入住', '允许吸烟']",Qingpu,6.931471805599453,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
66,新场舒适新居，卫生间干湿分离。厨房设备齐全。客厅有4k家庭影院，露台和庭院有60平方,4,4.8,85,浦东新区,别墅里的独立房间,1,1,2.0,1,"['超赞房东', '灵活取消', '免费停车', '可以做饭', '花园或后院']",Pudong,6.654212933375475,very cheap,Villa,Indivual Room,group1,very cheap,Non-apartment,Not Shared
67,优质高档公寓,3,4.0,89,嘉定区,公寓型住宅里的独立房间,1,1,1.0,1,"['可开发票', '灵活取消', '提供接送机', '行李寄存', '自助入住', '花园或后院']",Jiading,4.394449154672439,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
68,短租，旅游看过来哦，长租更优惠哈，上海大学，锦秋花园小别墅,1,5.0,90,宝山区,民居里的独立房间,1,1,1.0,1,"['超赞房东', '灵活取消', '近地铁站', '花园或后院']",Baoshan,0.0,very cheap,Bungalow,Indivual Room,group1,very cheap,Non-apartment,Not Shared
69,新场坦直镇中心，自建房新装修，热情好客，生活方便，毗邻广场，停车场,3,5.0,85,浦东新区,民居里的独立房间,1,1,2.0,1,"['超赞房东', '灵活取消', '行李寄存', '自助入住', '免费停车', '可以做饭']",Pudong,5.493061443340549,very cheap,Bungalow,Indivual Room,group1,very cheap,Non-apartment,Not Shared
70,中环温馨房间 （可月租）,2,1.0,90,普陀区,公寓型住宅里的独立房间,0,1,1.0,1,['灵活取消'],Putuo,0.6931471805599453,very cheap,Apartment,Indivual Room,group1,very cheap,Apartment,Not Shared
71,｛狮子座｝女生床位（2人间）单人单床/仅限女生/9号线九亭地铁站七宝虹桥徐家汇17分钟,4,5.0,80,松江区,LOFT里的合住房间,1,1,1.0,1,"['灵活取消', '近地铁站', '免费停车', '供应早餐']",Songjiang,6.931471805599453,very cheap,LOFT,Shared Room,group1,very cheap,Non-apartment,Not Shared
